FO Firm Name,Website,Country,City,Founded Year,Type,Contact Name,Contact Title,Contact LinkedIn,Contact Email,Investment Focus,Check Size Min,Check Size Max,Recent Deal 1,Recent Deal 2,Recent Deal 3,Co-Investors,LP Relations,LinkedIn Activity,Recent News,News Date,News Source,Verified Date,Verified Method,Source URL,Notes,AUM Range
VMS Group,vmsam.com,Hong Kong,Hong Kong,2006,Multi-Family Office,Elton Cheung,Managing Partner,linkedin.com/in/eltoncheung,IR@VMSIG.COM,"Crypto, Digital Assets",10000000,50000000,Invested $10M in Re7 Capital,,,3C AGI Partners,Managed By IR Team,https://hk.linkedin.com/company/vms-asset-management,VMS backs Re7 Capital,2026-02-03T00:00:00.000Z,https://bingx.com/en/news,2026-03-17T00:00:00.000Z,News article + LinkedIn check,https://bingx.com/en/news/post/jpmorgan-family-office-report-shows-avoid-crypto-while-focus-on-ai-investments,"""Managing partner Elton Cheung cites 'clearer legislative support' for crypto investments""",$10 Billion
Maelstrom,maelstrom.fund,Hong Kong,Hong Kong,2022,Single-Family Office,Arthur Hayes,Founder,https://www.linkedin.com/in/arthur-hayes-b493b42/,info@maelstromglobal.com,"Crypto, Blockchain",40000000,75000000,Launched $250M PE fund,,,,,,,,,,,,"""Fund plans to deploy $40-75M per deal into off-chain crypto companies""",
NOIA Capital,https://noiacapital.com/,Luxembourg,Luxembourg City,2019,Multi-Family Office,Muhammed Yesilhark,Chief Investment Officer (CIO),https://www.linkedin.com/in/muhammed-yesilhark-b089996/?originalSubdomain=ae,ir@noiacapital.com,"Blockchain, Digital Assets",500000,10000000,Jade Road Investments (Post-IPO/Strategic) – Successfully raised over $8M in external capital with NOIA maintaining a significant stake (Sep 2025),Skyral (Series A) – Secured $20M in funding to expand AI digital twin technology (Jun 2025).,Ultra (Series B) – Estonian gaming startup raised $12M led by/participated in by NOIA (Apr 2025),"Binance Labs (KernelDAO), Moonrock Capital",Focused on providing liquidity options for late-stage private tech shareholders via Jade Road.,"Highly active; regularly posts about blockchain transformation, portfolio milestones, and podcast appearances (e.g., ""The Perfect Pitch Podcast"")",Jade Road Investments (portfolio company) raised $8.2M to restore trading on the London Stock Exchange AIM Market,2025-09-11T00:00:00.000Z,https://ae.linkedin.com/company/noia-capital,2026-03-17T00:00:00.000Z,"Review of official NOIA Capital Website, DFSA Public Register, and official LinkedIn announcements",noiacapital.com,,$120 million
Revo Digital Family Office,https://www.revogroup.co/,Hong Kong (Headquarters) and Singapore,Hong Kong,2022,Multi-Family Office,Ray Tam,Co-Founder and Chief Executive Officer,https://hk.linkedin.com/in/william-chu-9b446684,,"Digital Assets, Crypto, Bitcoin ETFs",10000000,50000000,Investment backing from UOB Venture Management,Investment backing from Signum Capital and Gate.io Exchange,,"UOB Venture Management, Signum Capital, Gate.io, and a South Korean single-family office","Revo acts as a ""gatekeeper"" and aggregator for UHNW families and single-family offices entering the digital asset space","Highly active; recently promoted ""The Revo Connect 2026"" forum and regular updates on SFC licensing milestones",Announced obtaining Type 4 (Advising on Securities) and Type 9 (Asset Management) licences from the Hong Kong SFC,2026-02-09T00:00:00.000Z,https://www.rafflesgroup.co/press-release-2026-02-09/,2026-03-17T00:00:00.000Z,Direct review of official company website and LinkedIn corporate profile,https://www.revogroup.co/,,$5 billion
Rockefeller Capital Management,https://www.rockco.com/,United States,New York City,2018,Multi-Family Office,Gregory J. Fleming,President and Chief Executive Officer,https://www.linkedin.com/in/gregoryfleminggmail/,,"Asset Management, Advisory",1000000,5000000,"Investment in LeapXpert (Jan 21, 2025)","Investment in KOHO (Oct 02, 2024)",,"Historically joined by Viking Global Investors, IGM Financial, Mousse Partners (Chanel owners), and Abrams Capital",,,Rockefeller Capital Management announced a fresh recapitalization round valuing the firm at $6.6 billion,2025-10-14T00:00:00.000Z,https://www.advisorhub.com/rockefeller-valued-at-6-6-billion-in-latest-fundraise/,2026-03-17T00:00:00.000Z,"Cross-referenced official SEC filings (Form ADV), firm press releases, and reputable financial news sources.",,,$187 Billion to $198 Billion
Bezos Expeditions,https://www.bezosexpeditions.com/,United States,"Mercer Island, Washington (Headquarters)",2005,Single-Family Office,Melinda Lewison,Managing Director,https://www.linkedin.com/in/stephen-campbell-36a1746/,jeff@amazon.com,"Space exploration (Blue Origin), Artificial Intelligence, biotechnology, robotics, and climate-focused infrastructure.",10000000,50000000,"Synchron – Series D round for digital therapeutics ($200M, Nov 2025)","Profluent – Series B round for AI-driven drug discovery ($106M, Nov 2025).",,"Frequently partners with firms like Arch Venture Partners, Michael Dell’s family office, and Coatue Management",Ryan McGloin,Active primarily through individual leadership profiles and affiliated entities like the Bezos Earth Fund,Jeff Bezos reportedly became co-CEO of a new $6.2 billion AI startup called Project Prometheus (Nov 2025),2025-11-18T00:00:00.000Z,https://people.com/jeff-bezos-has-first-major-new-company-role-since-leaving-amazon-at-ai-startup-11851235,2026-03-17T00:00:00.000Z,"Review of official SEC filings, corporate profiles, and current news reports.",https://bezosexpeditions.com/,,$108 Billion – $172 Billion
Emigrant Family Office,https://www.fortismgmt.com/,United States,"New York City (Emigrant HQ) / Waltham, MA (Division HQ)",1850,Multi-Family Office,Jay Goldfarb,CEO of Fortis Management Group (Cornerstone of the division),https://www.linkedin.com/in/jay-goldfarb-3230108/,info@fortismgmt.com,"Non-investment services; focuses on bill payment, tax coordination, concierge services, and consolidated reporting",100000000,,"Acquisition of Fortis Management Group (announced March 2026, expected close April 2026).",Minority investment in Elevation Point via affiliate Emigrant Partners (May 2025).,,Mubadala Capital (parent company partner) and the Milstein family.,"Liz Nesvold, Chair of Emigrant Partners and Vice Chair of Emigrant Bank.","Highly active via the Emigrant Partners LinkedIn page, focusing on RIA acquisitions and family office talent.","Emigrant Bank formally launches ""Emigrant Family Office"" following its acquisition of Fortis.",2026-03-05T00:00:00.000Z,https://www.familywealthreport.com/article.php/Emigrant-Builds-Out-Family-Office-Capabilities-With-Acquisition,2026-03-17T00:00:00.000Z,Review of official acquisition press releases and SEC-registered advisor announcements.,nypbt.com,,$100 Billion
Angeles Investment Advisors (AIA),https://www.angelesinvestments.com/,United States,"Santa Monica, CA (Headquarters); New York, NY; Houston, TX",2001,Investment Management / Outsourced CIO (OCIO),"Howard D. Perlow, CFA",Chief Executive Officer,https://www.linkedin.com/in/howard-perlow-5448439/,inquiries@angelesadvisors.com,"Global multi-asset strategies, buyout and credit investments, private equity, and sustainable/ESG investing.",25000000,,Successful connection of Solarpark Barcs in Hungary (May 2024).,Acquisition of XO Capital in January 2026 to launch the Angeles Family Office affiliate.,,"Frequently co-invests alongside major institutional partners and its own private wealth affiliate, Angeles Wealth Management.","Anna L. McGibbons, CFA (Head of Client Strategy & Partner).","Highly active; emphasizes global market updates, sustainability/DEI initiatives, and leadership changes.",Announced expansion in Texas with the appointment of new senior leadership to its Dallas-based family office team.,2026-03-05T00:00:00.000Z,https://www.angelesinvestments.com/insights/news?media_center_section=3,2026-03-17T00:00:00.000Z,Review of SEC Form ADV and official corporate press releases,angelesinvestments.com,,$42.7 Billion
Angeles Family Office (AFO),https://www.angelesinvestments.com/insights/press/angeles-wealth-management-acquires-xo-capital-launches-angeles-family-office,United States,"Santa Monica, CA (Headquarters); New York, NY; Houston, TX; Dallas, TX",2026,Multi-Family Office,Adam Stern,CEO of Angeles Family Office,https://www.linkedin.com/in/adamkstern/,[f][last]@angelesinvestments.com,"Institutional-quality global asset allocation, alternative investments, and impact investing, supported by the OCIO capabilities of Angeles Investment Advisors.",20000000,,Acquisition of XO Capital (January 2026) to seed the family office division.,Expansion into Dallas with the appointment of Kate Flume as Senior Managing Director (March 2026).,,"Invests alongside its affiliate, Angeles Investment Advisors (AIA), which serves large endowments and foundations.","Jason Oclaray, President of Angeles Family Office.","Highly active; emphasizes market outlooks, RIA sector consolidation, and new leadership appointments.","Launched the Angeles Family Office affiliate to integrate comprehensive business management, bill pay, and reporting with institutional investing.","March 5, 2026 (Dallas expansion) / January 13, 2026 (AFO launch)",Business Wire / WealthManagement.com,2026-03-17T00:00:00.000Z,Review of official corporate press releases and SEC-registered advisor filings.,angelesinvestments.com,,$46 Billion
XO Capital,xo.capital,United States,"Santa Monica, California",2021,Multi-Family Office,Adam Stern or Jason Oclaray,Co-Founders,https://www.linkedin.com/in/adamkstern/,,"Business management, investment oversight, and comprehensive financial reporting for ultra-high-net-worth families.",,,"Acquired by Angeles Wealth Management to launch its new affiliate, Angeles Family Office.",Transition of existing XO Capital team and service model into the integrated Angeles Family Office platform.,,"Strategic integration with Angeles Investment Advisors, which manages ~$38 billion in institutional assets.","Jonathan S. ""Jon"" Foster, President of Angeles Wealth Management.",Active via the Angeles Wealth LinkedIn following the merger.,The acquisition marks Angeles Wealth's maiden entry into the RIA merger and acquisition space.,"January 13, 2026.",InvestmentNews / LA Times,2026-03-17T00:00:00.000Z,Review of official corporate press releases and industry news reports.,angeleswealth.com,,$38 Billion
